ID,Tier,Region,Jurisdiction / Institution,Institution,Document Title,Document Type,Publication Date,Source URL,Stance,Disclosure,Discretion,Focus (Primary),Focus (Secondary),Enforcement,Coverage,Key Quote (verbatim),Coder Notes,Coder,Date Coded,Stance #,Tier #,Governance Domain
NYC-011,Institutional,NYC,New York University,NYU,NYU Information Technology AI Primer,FAQ/Resource Page,,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/primer.html,Functional,Not specified,Not specified,AI Literacy,Privacy/Data/Ethics,Guidance only,Whole community,"While the models are immensely powerful tools, they require careful integration, governance, and human oversight to manage issues like bias, misinformation (hallucinations), and intellectual property, ensuring their power is used responsibly.
",,EY,,2,3,Internal
NYC-012,Institutional,NYC,New York University,NYU,Student Learning with Generative AI,FAQ/Resource Page,,https://www.nyu.edu/faculty/teaching-and-learning-resources/Student-Learning-with-Generative-AI.html,Functional,Recommended,Institution-mandated,AI Literacy,Pedagogy/Learning,Guidance only,Students and Faculty,"Students and faculty may use AI tools for learning and research; they should understand how AI works, evaluate outputs critically, and cite AI use where appropriate",,EY,,2,3,Internal
NYC-013,Institutional,NYC,New York University,NYU,Adapting Assignments to Generative AI,University Policy,,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/adapting-assignments-to-generative-AI.html,Functional,Recommended,Instructor decides,AI Literacy,Academic Integrity,Referenced to integrity code,Faculty only,"Even if an instructor does not intend to change individual assignments, the availability and generality of these tools increases the need for clarity around the instructor’s expectations. Whatever strategies an instructor might adopt for individual assignments or a whole course, instructors should explain to students what is expected around AI use. ",,EY,,2,3,Internal
NYC-014,Institutional,NYC,New York University,NYU,Frequently Asked Questions About Teaching and AI,FAQ/Resource Page,2/20/2025,https://www.nyu.edu/faculty/teaching-and-learning-resources/teaching-with-generative-tools/frequently-asked-questions.html,Functional,Recommended,Instructor decides,Pedagogy/Learning,Academic Integrity,Guidance only,Faculty only,"""Generative AI is a new arrival in the academic environment and can be used in a wide variety of ways. Because of this novelty and flexibility, there are few standard approaches to its use beyond an Faculty/Inst. decides restriction on taking credit for AI output without acknowledging its use. Most policies will be set by the schools or by individual faculty members.""",,EY,,2,3,Internal
NYC-015,Institutional,NYC,New York University,NYU,NYU AI Center of Excellence,FAQ/Resource Page,,https://www.nyu.edu/life/information-technology/artificial-intelligence-at-nyu/coe.html,Encouraging,Not specified,Institution-mandated,AI Literacy,Pedagogy/Learning,Guidance only,Whole community,"“New York University is strategically investing in AI to gain significant administrative efficiencies, accelerate cutting-edge research, and equip our entire community—faculty, students, and staff—with the tools to thrive in an AI-driven world.”",,EY,,3,3,Internal
NYC-016,Institutional,NYC,City University of New York,CUNY,CUNY AI Academic Hub,University Policy,2025,https://www.cuny.edu/academics/ai-academic-hub/,Encouraging,Not specified,Not specified,AI Literacy,Professional Readiness,Guidance only,Students and Faculty,"""Our Vision is shaping the Future of Human-AI Powered Education. CUNY is at the forefront of AI-driven transformation in higher education. Our mission is to harness AI’s potential to empower learning, drive research, and foster innovation—ensuring equitable opportunities for all.""",,EY,,3,3,Internal
NYC-017,Institutional,NYC,City University of New York,CUNY,Teach@CUNY AI Toolkit,FAQ/Resource Page,,https://aitoolkit.commons.gc.cuny.edu/,Cautious,Recommended,Instructor decides,AI Literacy,Pedagogy/Learning,Guidance only,Students and Faculty,“This toolkit offers guidelines and resources to help instructors support students as we all learn to navigate a world increasingly awash in AI.”,,EY,,1,3,Internal
NYC-018,Institutional,NYC,City University of New York,CUNY,CUNY Central Academic Integrity Policy,University Policy,2024,https://www.cuny.edu/about/administration/offices/legal-affairs/policies-resources/academic-integrity-policy/,Cautious,Required,Hybrid,Academic Integrity,AI Literacy,Explicit penalties,Students and Faculty,“Any use of generative AI tools must be in line with the usage policy for specific assignments as defined in the course of the syllabus and/or communicated by the course instructor.”,,EY,,1,3,Internal
NYC-019,Institutional,NYC,City University of New York,CUNY,AI Across CUNY,FAQ/Resource Page,9/30/2025,https://www.ccny.cuny.edu/tlc/making-your-course-available?srsltid=AfmBOoojIHHL2OxDCdrK-0Xc9elMyrAnNWVcOtEzwybtMdTvH4Pbcfy-,Encouraging,Required,Instructor decides,AI Literacy,Pedagogy/Learning,None stated,Students and Faculty,“The Teaching and Learning Center developed this resource to help faculty explore the intersection of AI and education.”,,EY,,3,3,Internal
NYC-020,Institutional,NYC,City University of New York | CUNY Central Office / CUNY Innovative Teaching Academy,CUNY,Teaching with AI: Disciplinary Toolkits,FAQ/Resource Page,2024-2025,https://www.cuny.edu/academics/faculty-affairs/faculty-hub/cuny-innovative-teaching-academy/building-bridges-of-knowledge-bbk/#1743443301057-e01b194c-474d,Encouraging,Not specified,Instructor decides,AI Literacy,Professional Readiness,None stated,Students and Faculty,"“Building Bridge of Knowledge (BBK) is a CUNY-wide faculty fellowship project, aiming to help students use generative artificial intelligence (AI) tools ethically, responsibly, and effectively.”",,EY,,3,3,Internal
NYC-021,Institutional,NYC,Columbia University / Office of the Provost,Columbia University,Office of the Provost: Generative AI Policy & Guidance (2024-2026),University Policy,,https://provost.columbia.edu/content/generative-ai,Cautious,Required,Hybrid,Privacy/Data/Ethics,Academic Integrity,Referenced to integrity code,Whole community,"“Columbia recognizes that generative AI is a tool that is transforming higher education and society, and encourages our campus community to explore its possibilities while being mindful of the potential security and privacy risks that it poses.”",,EY,,1,3,Internal
NYC-022,Institutional,NYC,Columbia University Information Technology / Emerging Technologies,Columbia University,Best Practices for Responsible AI Use,University Policy,1/9/2026,https://etc.cuit.columbia.edu/news/best-practices-responsible-ai-use,Cautious,Required,Hybrid,Privacy/Data/Ethics,AI Literacy,Referenced to integrity code,Whole community,"CUIT’s guidance is designed to help the Columbia community benefit from AI while avoiding common failure points, particularly when institutional or sensitive data is involved.

At the center of the guidance is one principle:
AI should assist human judgment, not replace i",,EY,,1,3,Internal
NYC-023,Institutional,NYC,Columbia University,Columbia University,Columbia CTL AI Guidelines (2024-2026),University Policy,,https://ctl.columbia.edu/resources-and-technology/resources/academic-integrity/,Cautious,Required,Instructor decides,Academic Integrity,AI Literacy,Referenced to integrity code,Students and Faculty,“The possible advantages that might present in the teaching-learning process should be under the control of each instructor since they know exactly what they expect from students’ work.”,,EY,,1,3,Internal
NYC-024,Institutional,NYC,Columbia University,Columbia University,CUIT AI Framework Policy,FAQ/Resource Page,6/10/2025,https://www.cuit.columbia.edu/sites/www.cuit.columbia.edu/files/content/CUIT%20Website%20Pages/AI%20Framework%20%20(1).pdf,Encouraging,Recommended,Institution-mandated,Privacy/Data/Ethics,,Guidance only,Whole community,"“A key tenet of the framework is governance — ensuring that all AI initiatives adhere to security, privacy, and compliance requirements from the outset.”",,EY,,3,3,Internal
NYC-025,Institutional,NYC,Columbia University,Columbia University,CUIT Generative AI Data Security Guidelines,University Policy,,https://www.cuit.columbia.edu/content/ai-services,Encouraging,Not specified,Institution-mandated,AI Literacy,,Guidance only,Whole community,"“For work involving non-public data, Columbia IT maintains a set of enterprise-grade AI tools — including Columbia ChatGPT Education, CHAT, and Google for Education — that operate within a secured environment sometimes called a ‘walled garden.’”",,EY,,3,3,Internal
NYC-026,Faculty/Department,NYC,New York University - Steinhardt,NYU,NYU Steinhardt - Academic Integrity and Syllabus Support in the Age of Generative AI,FAQ/Resource Page,,https://steinhardt.nyu.edu/faculty-and-staff/academic-affairs/steinhardt-ai-hub/academic-integrity-and-syllabus-support-age,Cautious,Required,Faculty/Dept decides,AI Literacy,Pedagogy/Learning,Referenced to integrity code,Faculty only,“Any AI-generated content used in assignments must be properly attributed.”,,EY,05/15,1,4,Internal
NYC-027,Faculty/Department,NYC,New York University - CAS,NYU,CAS - Expository Writing Program (EWP) Statement on AI (2026),University Policy,11/1/2025,https://cas.nyu.edu/ewp/about/statement-on-generative-ai.html,Prohibitive,Conditional,Hybrid,Pedagogy/Learning,Academic Integrity,Guidance only,Students and Faculty,No EWP class permits students to use AI-generated writing unless it is clearly identified as an object for analysis,,EY,05/15,0,4,Internal
NYC-028,Faculty/Department,NYC,New York University,NYU,Academic Integrity - Tisch,University Policy,,https://tisch.nyu.edu/faculty/academic-integ,Cautious,Not specified,Instructor decides,Academic Integrity,Pedagogy/Learning,Explicit penalties,Students and Faculty,"Generative AI: Please note, with recent developments in technologies like ChatGPT, the existence of a well-written paragraph is no longer evidence of human effort. To read the Provost's notes on how to adapt writing assignments in the age of generative AI, click here. ",,EY,05/15,1,4,Internal
NYC-029,Faculty/Department,NYC,New York University,NYU,Generative AI Updates – Live Syllabus and Faculty Development Resources,FAQ/Resource Page,1/23/2024,https://wp.nyu.edu/fas-edtech/2024/01/generative-ai-updates-live-syllabus-and-faculty-development-resources/,Cautious,Recommended,Instructor decides,Pedagogy/Learning,Academic Integrity,Guidance only,Faculty only,"“Whatever your approach, clear communication with students about your expectations and your justification for your generative AI use policies should be on your beginning of the semester agenda.”",,EY,05/15,1,4,Internal
NYC-030,Faculty/Department,NYC,New York University,NYU,Generative AI Resources for Faculty - NYU Arts and Sciences,FAQ/Resource Page,,https://as.nyu.edu/academics/teaching-excellence-and-innovation/services/course-support/genai-resources.html,Cautious,Not specified,Instructor decides,AI Literacy,Academic Integrity,Guidance only,Faculty only,“The materials on this page are a regularly updated collection of the advice and resources our team shares with instructors and departments about AI and teaching and learning.”,,EY,05/15,1,4,Internal
NYC-031,Faculty/Department,NYC,CUNY - Baruch College,CUNY,Guidelines for AI Use at Baruch College,Official Guidance,2025-08-19,https://provost.baruch.cuny.edu/artificial-intelligence-think-tank/ai-use-guidance/,Encouraging,Required,Instructor decides,Pedagogy/Learning,Privacy/Data/Ethics,Referenced to integrity code,Students and Faculty,"""Faculty are encouraged to integrate artificial intelligence education into their courses as appropriate to their disciplines, but are not obligated to do so. All syllabi should include a course- and discipline-appropriate policy on the use of generative AI.""",,EY,05/15,3,4,Internal
NYC-032,Faculty/Department,NYC,CUNY - John Jay College of Criminal Justice,CUNY,AI Responsible Use Guidelines,Official Guidance,,https://www.jjay.cuny.edu/about/senior-leadership/academic-affairs/office-provost/ai-policies-guidelines,Functional,Required,Institution-mandated,Academic Integrity,AI Literacy,Referenced to integrity code,Whole community,"Generative AI is a powerful tool for research and scholarship, and its effective use is becoming an essential workplace skill. We believe that fostering AI literacy across all disciplines is an extension of our mission to prepare students for meaningful careers and ethical leadership within the justice system and beyond.
","There are 3 documents, For Everyone, For Student and For Faculty. All of them were considered in this coding",EY,05/15,2,4,Internal
NYC-033,Faculty/Department,NYC,CUNY - LaGuardia,CUNY,"Teaching Writing at LaGuardia Generative AI Guidance.
",Official Guidance,,https://lagccwriting.commons.gc.cuny.edu/gen-ai-guidance/,Functional,Recommended,Instructor decides,Pedagogy/Learning,Academic Integrity,Referenced to integrity code,Students and Faculty,"Please include a statement on your syllabus which indicates your policy about student use of AI in your class. Please also verbally reinforce this policy with students throughout the semester.
Right now, the Department does not have a uniform policy. To help you decide on your policy, here are some guiding resources:",,EY,05/15,2,4,Internal
NYC-034,Faculty/Department,NYC,CUNY - City Tech,CUNY,City Tech Artificial Intelligence Guidance,Official Guidance,,https://www.citytech.cuny.edu/ai/ai-guidance.aspx,Cautious,Required,Hybrid,Privacy/Data/Ethics,Academic Integrity,Referenced to integrity code,Whole community,"City Tech recognizes the rapid evolution of Artificial Intelligence (AI) and its impact on how we work, teach and learn. As the landscape of AI changes, and Generative AI tools become widely available for everyday use, new opportunities in higher education are realized, but also present new risks that must be taken into consideration when using these technologies. We encourage you to experiment with AI tools, but also consider the following guidelines which align with existing CUNY and City Tech policies on information security and academic integrity. Please consider the guidelines in conjunction with other CUNY recommendations and policies.","There are 3 documents, For Everyone, For Student and For Faculty. All of them were considered in this coding",EY,05/15,1,4,Internal
NYC-035,Faculty/Department,NYC,CUNY - Queens College,CUNY,"Generative AI in the Classroom: Best Practices, a CETLL Guide",FAQ/Resource Page,2025-03,https://www.qc.cuny.edu/cetll/wp-content/uploads/sites/138/2026/03/Generative-AI-in-the-Classroom-Best-Practices-a-CETLL-Guide_ACCESSIBLE_3.19.pdf,Functional,Recommended,Instructor decides,Pedagogy/Learning,AI Literacy,Guidance only,Faculty only,"Currently, there is no specific CUNY or QC policy on the use of artificial intelligence in the classroom outside of mentions of AI in the CUNY Academic Integrity Policy. This means that, as instructors, we have a lot of flexibility and responsibility to consider how and when the use of generative AI is acceptable in our classes to clearly communicate these parameters to our students as we prepare them for the integration of these technologies in work and life. ",,EY,05/15,2,4,Internal
NYC-036,Faculty/Department,NYC,"Teachers College, Columbia University",Columbia,TC Guidance - Developing a Generative AI Policy for Your Course,FAQ/Resource Page,2025,https://www.tc.columbia.edu/digitalfuturesinstitute/ai-in-education/recommendations-for-generative-ai-use-at-tc/,Functional,Conditional,Instructor decides,Pedagogy/Learning,Academic Integrity,Referenced to integrity code,Students and Faculty,"""TC provides flexibility for instructors to experiment with and use generative AI in their courses. Each TC instructor should set specific policies about student use of generative AI for their course assignments""",,EY,05/14,2,4,Internal
NYC-037,Faculty/Department,NYC,Columbia Law School,Columbia,Columbia Law School Interim Policy on Generative AI,University Policy,,https://www.law.columbia.edu/academics/registration-services/resources/columbia-law-school-interim-policy-generative-ai,Cautious,Not specified,Hybrid,Academic Integrity,AI Literacy,Referenced to integrity code,Students and Faculty,"Generative AI includes any machine-based tool designed to help write, rewrite, or restructure language from user questions and prompts. Prohibited tools include, for example, Bard, ChatGPT, Gemini, Grok, along with embedded tools in programs such as Grammarly or Microsoft Copilot. Generative AI is distinct from software that helps search for and extract information from data sources for use in research. (...) 
Use of Generative AI is prohibited in (a) any exam or final paper or (b) for aid in drafting any part of work submitted for credit, even if the use is fully documented. 
The Law School and University Generative AI policies are default rules. This means individual instructors can, and indeed are encouraged to, tailor their own more permissive policies, so long as their policies are stated in writing in the syllabus.

",,EY,05/14,1,4,Internal
NYC-038,Faculty/Department,NYC,Columbia Business School,Columbia,"Columbia Business School - Getting Started with Generative Artificial Intelligence
",University Policy,,https://business.columbia.edu/samberg/ai/ai-basics,Encouraging,Required,Institution-mandated,AI Literacy,Privacy/Data/Ethics,None stated,Whole community,"“Generative AI is a powerful tool capable of creating innovative solutions, automating repetitive tasks, and enhancing productivity.”",,EY,05/14,3,4,Internal
NYC-039,Faculty/Department,NYC,Center for Teaching and Learning (CTL),Columbia,"Center for Teaching and Learning (CTL) - Developing AI Syllabus Statements and Communicating with Students about AI
",University Policy,,https://ai.ctl.columbia.edu/explore/ai-syllabus-statement/,Functional,Required,Hybrid,Pedagogy/Learning,Academic Integrity,Referenced to integrity code,Students and Faculty,"“Since instructors and academic departments have the ability to develop their own AI course policies, students may encounter different guidelines across their courses.”",,EY,05/14,2,4,Internal
NYC-040,Faculty/Department,NYC,Columbia University Irving Medical Center,Columbia,AI and Generative Technology Use at CUIMC,University Policy,,https://www.it.cuimc.columbia.edu/ai-and-generative-technology-use-cuimc,Cautious,Required,Institution-mandated,Privacy/Data/Ethics,AI Literacy,Guidance only,Whole community,"“All use of AI, Large Language Models (LLM), Natural Language processors (NLP) or Machine Learning (ML) systems at the Medical Center must comply with HIPAA and other relevant healthcare and IT regulations.”",,EY,05/14,1,4,Internal
NYC-041,Course-wide,NYC,NYU Stern,NYU,Global Strategy (Stern School of Business) Global Strategy Syllabus,Syllabus,Fall 2025,https://web-apps-shib.stern.nyu.edu/syllabi/static/syllabusfiles/MGMT-GB.2340_10_F2025.pdf,Prohibitive,Required,Instructor decides,Academic Integrity,Pedagogy/Learning,Explicit penalties,Students only,"In this course, students are not allowed to use advanced automated tools (artificial intelligence or machine learning tools) on any component of this course. (...) When you are doing research for your final project, please make sure you use credible resources that are not generated by AI. If any part of your assignment(s) are produced by AI, I will ask you to redo that section or the assignment. I will not grade or provide feedback on an AI generated text. ",,EY,05/14,0,5,Internal
NYC-042,Course-wide,NYC,NYU Stern,NYU,Leadership (Stern School of Business - FT MBA) Leadership MBA Syllabus,Syllabus,Fall 2025,https://web-apps-shib.stern.nyu.edu/syllabi/static/syllabusfiles/COR1-GB.1102_02_F2025.pdf,Prohibitive,Not specified,Instructor decides,Academic Integrity,Pedagogy/Learning,Referenced to integrity code,Students only,"You can only learn from work you actually do. Unless otherwise stated, you should not use generative AI tools to create any part of an assignment in this course; every submission should be entirely your work.",,EY,05/14,0,5,Internal
NYC-043,Course-wide,NYC,NYU College of Arts & Sciences,NYU,Texts and Ideas: CORE-UA 400 070 (College of Arts & Science) Texts and Ideas Syllabus,Syllabus,2025,https://cas.nyu.edu/content/dam/nyu-as/casCore/documents/syllabifall2025/BARBIERO%20SYLLABUS%202025%20-%20Copy%20%281%29.pdf,Prohibitive,Not specified,Instructor decides,Pedagogy/Learning,Academic Integrity,Referenced to integrity code,Students only,"As with any other class work generated by anyone other than the students, whether by other students or by a company, use of AI in this class, unless specifically permitted, will be considered a violation of NYU’s Academic Integrity policy and will be dealt with accordingly.",,EY,05/14,0,5,Internal
NYC-044,Course-wide,NYC,NYU College of Arts & Sciences,NYU,Environmental Justice & Inequality ,Syllabus,Spring 2025,https://as.nyu.edu/content/dam/nyu-as/environment/documents/Syllabi/spring-2025/Environmental%20Justice%20syllabus%202025%20-%20Colin%20Jerolmack.pdf,Prohibitive,Required,Institution-mandated,Academic Integrity,Pedagogy/Learning,Explicit penalties,Students only,"“Presenting writing or data generated by someone else, or by software/Artificial Intelligence, as one’s own is a serious offense.”",,EY,05/14,0,5,Internal
NYC-045,Course-wide,NYC,NYU College of Arts & Sciences,NYU,Writing Program Course Syllabus (College of Arts & Science) FAS Writing Syllabus: “Language as a Site of Protest: Poetry & Prose of the Political Imagination”,Syllabus,Fall 2025,"https://as.nyu.edu/content/dam/nyu-as/cwp/documents/introsyllabi/fall2025syllabi/NYU%20Syllabus,%20Fall%202025%20-%20GDC-9.pdf",Prohibitive,Not specified,Instructor decides,Academic Integrity,Pedagogy/Learning,Explicit penalties,Students only,"“Plagiarism will be reported to the department, without exception. This includes the use of AI.”",,EY,05/14,0,5,Internal
NYC-046,Course-wide,NYC,CUNY - Lemann College,CUNY,English 111: Composition I Course Syllabus,Syllabus,2025,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1112&context=le_oers,Prohibitive,Not specified,Instructor decides,Academic Integrity,Pedagogy/Learning,Referenced to integrity code,Students only,"While AI and Chat GPT is the future, it is not a valid resource for this class. As we will discuss, any time you are creating an assignment it must be in your own words. 
The use of AI, ChatGPT, etc. presenting as your own work that you yourself have not written will be considered plagiarism",,EY,05/14,0,5,Internal
NYC-047,Course-wide,NYC,CUNY - City College ,CUNY,MCA 10100: Introduction to Mass Media OER/ZTC Syllabus,Syllabus,2025,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1583&context=cc_oers,Functional,Not specified,Instructor decides,Academic Integrity,Pedagogy/Learning,Referenced to integrity code,Students only,"As such, while using some programs of sites with AI features to do simple things like correct grammar or edit work is permissible, using generative AI programs like ChatGPT to write assignments for yourself will be considered an act of turning in work that is not your own and violate academic honesty guidelines.",,EY,05/14,2,5,Internal
NYC-048,Course-wide,NYC,CUNY - York College ,CUNY,"Digital Cultures, DEI, and AI: Critical Analysis Assignment & Curriculum",Syllabus,2026,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1094&context=jj_oers,Functional,Required,Instructor decides,AI Literacy,Academic Integrity,Guidance only,Students only,"Students may use AI tools only for: brainstorming, outlining, or organizing ideas.
AI tools may not replace original thinking or writing.
If AI is used, students must include a brief AI Use Disclosure Statement explaining: which tool was used,  how it was used, and how authorship decisions remained human-directed",,EY,05/14,2,5,Internal
NYC-049,Course-wide,NYC,CUNY - Queens College,CUNY,"Queens College — FNES 722 (Exercise, Energy Balance, and Body Composition)",Syllabus,2025,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1117&context=qc_oers,Cautious,Required,Instructor decides,Academic Integrity,AI Literacy,Explicit penalties,Students only,"Cheating is the unauthorized use or attempted use of material, information, notes, study aids, devices, artificial intelligence (AI) systems, or communication during an academic exercise and will result in a grade of a “0” on the assignment and may result in disciplinary action from the department/University.",,EY,05/14,1,5,Internal
NYC-050,Course-wide,NYC,CUNY - Baruch College,CUNY,Baruch College — ENV 3070 (Agroecology),Syllabus,2025,https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1129&context=bb_oers,Encouraging,Required,Instructor decides,Academic Integrity,,Referenced to integrity code,Students only,"Use of generative AI tools (e.g. ChatGPT) is allowed. For each written assignment where generative AI is employed, you must include a cover letter describing what tool(s) you used, how you used it, why it was useful, and any shortcomings or limitations you encountered",,EY,05/14,3,5,Internal
NYC-051,Course-wide,NYC,Columbia University,Columbia,PSYC UN 3620: Developmental Psychopathology,Syllabus,Fall 2024,https://psychology.columbia.edu/sites/psychology.columbia.edu/files/content/PSYC%203620%20Syllabus%20Fall2024.pdf,Functional,Required,Instructor decides,Academic Integrity,Pedagogy/Learning,Referenced to integrity code,Students only,"While you are welcome to use generative AI tools in this class when doing so aligns with the
course objectives, please be advised of the following (...)
Remember, AI is not likely to generate a response that would be seen as quality work, and
should be modified, personalized, and always properly cited.",,EY,05/14,2,5,Internal
NYC-052,Course-wide,NYC,Columbia University,Columbia,COMS 3261: Computer Science Theory,Syllabus,Spring 2025,https://www.cs.columbia.edu/~josh/cs-theory/,Prohibitive,Not specified,Instructor decides,Pedagogy/Learning,,None stated,Students only,"It is also prohibited to use generative AI tools like ChatGPT while working on homeworks. (Even if it were not prohibited, these tools typically give incorrect and confusing solutions to the types of problems we will see in this class. In fact, in this class, we will give a mathematical explanation for this phenomenon!)",,EY,05/14,0,5,Internal
NYC-053,Course-wide,NYC,Columbia University,Columbia,NSBV BC3392: Psychobiology of Stress,Syllabus,Fall 2024 ,https://psychology.columbia.edu/sites/psychology.columbia.edu/files/content/Syllabus%20Psychobiology%20of%20Stress%20FA24.pdf,Prohibitive,Not specified,Instructor decides,Pedagogy/Learning,Academic Integrity,None stated,Students only,"Submitting work that is generated by AI is not acceptable. There are no shortcuts when it comes to learning how
to write about and present your own research. Instead, you are expected to put in the time and effort required to
create your own work, which will not only demonstrate your understanding of your research topic, but also your
ability to think critically and creatively. Students are expected to take responsibility for their work to ensure that
it is original and well-researched.",,EY,05/14,0,5,Internal
